temp;wind;rh;precip;fire
20,0771;28,2963;50,7105;0,9983;0
20,8807;28,0191;53,622;2,4855;0
20,6955;27,6974;54,5121;0,3306;1
21,5354;27,6474;49,1008;0,0126;1
24,4522;28,3394;46,8568;0,021;1
23,5283;28,6169;51,4689;14,9718;0
22,2104;28,7852;53,4635;0,0576;1
24,9279;27,9878;48,1344;0,0092;1
25,8813;27,8866;47,9915;0,1228;1
26,7091;27,783;47,0894;0,2644;1
21,2965;27,0588;54,4278;0,4315;1
18,6647;26,6199;50,7835;0,2009;1
22,5316;26,4318;38,0444;0,0044;1
23,3275;26,5829;42,5294;0,0026;1
24,3965;27,2003;42,922;0,0328;1
23,736;27,3375;45,4661;0,0912;1
26,3032;27,1969;43,7988;1,1769;1
23,4822;27,5727;44,687;0,3313;1
25,3658;27,3594;45,8644;0,0011;1
27,1462;27,7659;38,1458;0,0006;1
29,0738;28,1372;35,314;0,0064;1
27,5673;28,3464;43,2233;0,0364;1
26,7696;28,5407;43,4414;0,0002;1
29,0229;28,5639;36,6063;0,0002;1
29,255;28,682;36,8117;0,002;1
29,8344;28,5448;36,7314;0,0032;1
30,7184;28,2813;29,3535;0,0043;1
30,5424;28,1654;31,9549;0,0563;1
29,5614;28,0927;30,6534;0,0897;1
25,6013;27,726;48,0608;0,0469;1
26,378;27,2668;38,5103;0,0061;1
24,3997;27,3642;42,523;0,1136;1
23,523;27,9415;45,7385;0,0212;1
24,8537;28,6559;37,784;0,2185;1
24,6043;29,0442;44,4779;2,9792;1
25,28;29,1748;40,5543;1,7387;1
26,7408;28,902;40,0065;0,0109;1
23,9831;28,6134;49,352;2,2082;1
21,1515;28,1975;53,9557;0,1414;1
23,5704;28,3554;41,8478;0,1661;1
23,1768;28,4683;46,2471;0,4531;1
23,0012;28,2496;45,9717;0,0304;1
26,2966;28,4211;37,2188;0,0086;1
27,2377;28,4778;38,4928;0,0049;1
25,7593;28,608;38,7041;0,3877;1
25,9493;27,9794;40,3308;0,0011;1
26,6601;27,2227;35,1451;0,0057;1
23,8042;26,9961;49,1166;0,0296;1
24,5203;27,4102;42,4838;0,0007;1
25,4727;28,0277;36,8943;0,006;1
24,3781;28,3753;39,0474;0,029;1
20,9913;28,1661;52,4513;22,6852;0
14,0772;27,7838;54,6882;6,7613;0
17,9531;27,5194;67,3957;0,5258;0
20,2737;27,3076;49,7967;0,0064;1
20,3144;27,5977;47,1638;0,0431;1
19,7306;27,1844;46,5694;0,004;1
20,8214;27,4248;49,4677;0,0607;1
19,8782;27,6476;50,9753;0,6153;1
20,9607;27,4461;45,383;0,001;1
20,2165;27,2723;44,2104;0,0003;1
18,7029;26,722;45,9854;0,085;1
19,7781;26,8298;51,1049;0,0041;1
19,315;27,6416;49,1016;0,001;1
19,6455;28,1138;44,6664;0,0012;1
19,8117;27,732;46,6884;0,0023;1
19,7711;27,3669;47,7924;0,0004;1
20,1513;26,8256;45,7535;0,0031;1
20,2177;27,0242;46,5166;0,0059;1
16,9912;27,5284;49,0424;34,34;0
10,8738;27,788;59,211;1,5027;0
9,0065;27,8227;55,1049;0,2463;1
11,5215;27,5666;62,146;0,0322;1
16,1047;27,4355;69,5792;0,0556;1
17,7762;27,1412;47,144;0,4638;1
13,7419;26,8491;61,6981;5,0526;0
11,7053;26,9287;42,1647;0,002;0
10,9;26,8354;44,2969;0;1
9,2086;26,5844;41,8873;0,0352;1
8,7785;26,6841;46,2963;0;1
13,4014;27,1274;42,0334;0;1
14,2931;27,3011;56,4025;0,0026;1
12,7133;26,6618;67,9921;6,2321;0
10,3513;26,4054;66,0078;10,4113;0
10,6783;26,4465;57,3084;0,2004;0
9,1146;26,2358;69,0886;0,4299;0
10,6729;26,5951;59,0219;0,4462;0
13,1693;27,2624;66,7975;0,2344;0
13,279;27,1044;57,2817;5,0642;0
11,5369;26,5543;68,2861;19,9935;0
12,3745;26,5063;67,4874;0,0036;0
13,2048;27,2289;58,3759;0,0005;0
11,9221;27,8492;58,6255;0,0075;0
11,6644;28,1141;55,9177;0,0161;0
11,9939;28,3068;53,515;0,0022;0
10,8578;28,008;57,8587;0,0017;1
11,9903;27,4987;51,7789;0,0012;1
12,5207;26,7974;49,9028;0,0922;1
13,1225;26,3857;54,4859;0,3192;1
12,2797;26,7686;65,8194;8,4254;0
11,4064;27,038;60,0279;11,3312;0
10,3746;27,6454;60,3379;3,2474;0
11,9365;27,9476;64,4972;1,1458;0
8,7147;28,1047;75,5878;0,0124;0
7,3519;28,0226;68,8037;0,0002;0
6,4243;27,9612;56,9128;0;0
5,2984;27,3662;65,2395;0;0
5,9398;26,9178;58,6458;0,325;0
7,6872;26,3239;52,0471;0,6708;0
7,4206;25,9882;50,6467;0,0916;0
6,2373;26,1484;55,6454;0;0
6,8206;26,6544;54,2339;0;0
7,4103;27,5598;44,7488;0;0
4,7804;28,1428;46,2831;0;1
6,8156;28,0455;47,798;0,03;1
5,0113;28,2804;73,3917;0,5793;0
5,4474;28,1972;60,3868;9,2089;0
4,6394;27,853;70,7826;2,6805;0
6,366;27,7927;68,1661;1,3412;0
6,4241;27,804;59,1009;0,0019;0
6,9564;27,7554;67,1062;0,0004;0
8,237;27,9983;59,2618;0,0945;0
7,1654;28,4089;60,3049;0,0008;0
8,2482;28,446;57,5204;0,0004;0
8,1592;28,1083;58,0793;0;0
9,111;27,8179;65,8201;0;0
8,005;28,1709;62,898;0,4457;0
7,6247;28,2256;56,0131;0,9813;0
4,6478;27,8104;72,6233;38,5304;0
2,7778;27,352;65,5779;8,345;0
4,3982;27,4963;54,5858;1,7355;0
4,6498;27,7712;54,8882;3,1424;0
7,8326;27,7037;53,3363;5,3475;0
6,6565;27,4717;61,377;3,8992;0
8,4013;27,3234;58,0568;1,3136;0
5,1286;27,3668;65,2965;8,5947;0
6,0066;26,8634;60,3436;16,6325;0
5,8487;27,3894;72,7465;1,6918;0
5,7955;27,7918;52,4476;17,7848;0
6,3645;27,9724;53,1625;7,2695;0
-0,4308;27,8492;68,0532;17,8472;0
1,7427;27,968;62,4091;6,6757;0
-0,4135;28,2277;70,4059;16,7238;0
-0,0758;27,4756;72,7644;1,123;0
0,724;27,2186;64,9043;0,0129;0
2,654;27,7975;59,6844;0,2722;0
3,8047;28,8962;65,3208;0,0165;0
7,4455;29,4417;62,6001;2,8958;0
2,387;29,1961;62,4494;5,0375;0
2,8288;28,7202;70,6973;0,0017;0
3,3768;28,3884;70,7514;0;0
4,9135;28,2904;77,4086;0,0012;0
1,3936;27,8755;60,5863;0,4647;0
-0,5254;27,617;64,433;19,9293;0
-1,6484;27,2878;67,5298;0,9115;0
3,4036;13,762;73,3644;0,0164;0
6,7974;21,6063;64,0573;0,3878;0
4,0738;14,6039;69,6119;0,0247;0
4,7964;18,5437;55,1275;3,4469;0
10,9325;24,7397;37,865;5,267;0
-0,5528;39,9017;43,7117;4,9455;0
1,0226;29,2099;57,0394;0,8981;0
0,5754;18,1118;63,2155;1,6302;0
-1,2265;22,1019;65,6314;0,1769;0
0,3396;21,2702;61,7256;0,4848;0
2,2709;20,5896;59,0644;0,0008;0
2,5625;16,8393;66,6443;0,0974;0
1,1107;14,4721;68,3276;0,1958;0
0,2689;19,057;61,9649;0,0072;0
-3,7093;19,6782;71,5395;0;0
-4,3133;15,831;72,776;0,0005;0
-2,973;15,0709;66,8255;0,038;0
-2,7252;14,8824;74,0822;0,043;0
4,6073;25,8413;62,0866;3,394;0
2,4819;26,8231;71,1842;10,9643;0
-1,1305;18,2754;75,6318;1,1032;0
3,964;21,5606;78,1548;0,9696;0
5,1619;16,3318;59,7674;1,4549;0
2,1197;21,184;57,2018;5,2926;0
0,6123;36,1338;55,3467;4,6605;0
-0,9903;25,7973;75,1959;0,1518;0
0,6535;14,2174;62,1251;0;0
2,1666;12,159;70,4263;0,0086;0
-1,2545;19,4659;64,0615;3,2554;0
-3,1064;23,3775;66,0629;0,3768;0
-4,8066;18,6155;61,9542;0,6586;0
-4,4772;25,547;68,3104;2,6449;0
-4,6661;28,7108;76,3432;2,7676;0
-0,7543;29,654;72,004;13,0538;0
-0,4443;27,1962;72,3545;6,9233;0
-2,4931;21,7432;74,4695;4,9596;0
-1,277;32,6722;56,9163;5,8858;0
-0,7627;40,372;63,3472;9,8482;0
-4,2174;32,3611;58,2931;3,2294;0
-2,8405;20,496;58,7282;7,5063;0
-5,613;30,3661;65,3882;7,787;0
-2,0118;22,0204;66,1087;2,8015;0
-2,6346;20,0131;72,1783;3,9104;0
-2,2802;13,7704;68,2685;1,9442;0
-2,5787;14,3411;58,6143;0,0049;0
1,1304;24,8334;51,5798;4,1115;0
-2,7766;28,0796;71,4354;4,3189;0
1,8537;19,084;72,2465;1,6327;0
4,144;14,6711;60,7104;0,0019;0
3,5572;20,3087;63,9522;0,1572;0
3,567;17,7027;68,8244;5,3235;0
2,843;15,5669;82,7035;0,1717;0
6,0331;20,3958;71,7778;0,2778;0
6,4067;13,0003;64,1806;0,3741;0
11,2479;18,2402;63,4757;0,4928;0
10,8896;14,1759;62,7103;0,0567;0
0,0208;22,965;74,3571;3,6572;0
0,3651;29,1874;51,3;0,052;0
3,1337;17,7445;55,27;0,268;0
8,8222;30,2422;58,2782;0,1628;0
8,8193;15,9022;50,0659;0,138;0
12,5665;15,9734;52,8258;0,13;0
10,013;14,6367;52,311;0,0918;0
9,5021;13,3926;34,4488;0,222;0
6,0522;17,1739;44,4456;0,0538;0
4,638;19,8606;42,8063;0,0216;0
4,3313;18,3881;36,1727;0,6173;0
6,7461;16,361;35,3476;0,1255;0
6,1158;23,8162;57,8488;0,1287;0
6,9955;24,7057;48,3755;1,8328;0
8,9284;29,1988;49,845;0,5952;0
4,4316;29,7318;51,675;0,0181;0
8,1736;21,5572;52,2414;0,0334;0
